,repo_name,full_name,owner_name,git_url,language,num_commits,num_stars,num_forks,created_at,updated_at
28,platform_frameworks_base,aosp-mirror/platform_frameworks_base,aosp-mirror,https://github.com/aosp-mirror/platform_frameworks_base,Java,438759,8935,5609,2008-10-21 18:20:37,2020-01-03 16:18:08
108,ballerina-lang,ballerina-platform/ballerina-lang,ballerina-platform,https://github.com/ballerina-platform/ballerina-lang,Java,76756,2271,507,2016-11-16 14:58:44,2020-01-03 16:52:29
30,neo4j,neo4j/neo4j,neo4j,https://github.com/neo4j/neo4j,Java,66634,7266,1746,2012-11-12 08:46:15,2020-01-04 08:41:31
0,elasticsearch,elastic/elasticsearch,elastic,https://github.com/elastic/elasticsearch,Java,49783,46374,15682,2010-02-08 13:20:56,2020-01-04 06:55:16
111,WordPress-Android,wordpress-mobile/WordPress-Android,wordpress-mobile,https://github.com/wordpress-mobile/WordPress-Android,Java,42203,2226,1112,2013-04-08 20:52:40,2020-01-04 06:53:09
82,camel,apache/camel,apache,https://github.com/apache/camel,Java,41249,3033,3860,2009-05-21 00:25:36,2020-01-04 08:53:52
19,graal,oracle/graal,oracle,https://github.com/oracle/graal,Java,41051,11491,757,2016-01-14 17:11:35,2020-01-04 00:17:16
74,languagetool,languagetool-org/languagetool,languagetool-org,https://github.com/languagetool-org/languagetool,Java,34687,3289,624,2013-08-08 16:37:22,2020-01-04 08:54:33
81,vespa,vespa-engine/vespa,vespa-engine,https://github.com/vespa-engine/vespa,Java,33430,3044,360,2016-06-03 20:54:20,2020-01-04 08:50:17
77,lucene-solr,apache/lucene-solr,apache,https://github.com/apache/lucene-solr,Java,32845,3188,2215,2016-01-23 08:00:06,2020-01-04 09:42:53
52,alluxio,Alluxio/alluxio,Alluxio,https://github.com/Alluxio/alluxio,Java,30569,4473,2285,2012-12-21 17:43:46,2020-01-04 00:33:03
68,hazelcast,hazelcast/hazelcast,hazelcast,https://github.com/hazelcast/hazelcast,Java,29640,3487,1235,2012-03-21 12:25:18,2020-01-04 05:10:38
54,sonarqube,SonarSource/sonarqube,SonarSource,https://github.com/SonarSource/sonarqube,Java,29256,4339,1189,2011-01-05 11:05:17,2020-01-03 17:57:45
11,jenkins,jenkinsci/jenkins,jenkinsci,https://github.com/jenkinsci/jenkins,Java,29070,14670,5977,2010-11-22 21:21:23,2020-01-04 08:37:12
104,wildfly,wildfly/wildfly,wildfly,https://github.com/wildfly/wildfly,Java,28842,2338,1895,2010-07-08 20:46:07,2020-01-03 15:38:56
83,rstudio,rstudio/rstudio,rstudio,https://github.com/rstudio/rstudio,Java,27442,3026,745,2010-12-07 19:10:25,2020-01-04 00:38:35
87,ignite,apache/ignite,apache,https://github.com/apache/ignite,Java,26467,2922,1405,2015-02-19 08:00:05,2020-01-03 16:03:14
51,h2o-3,h2oai/h2o-3,h2oai,https://github.com/h2oai/h2o-3,Java,26131,4530,1655,2014-03-03 16:08:07,2020-01-04 05:58:58
50,h2o-3,h2oai/h2o-3,h2oai,https://github.com/h2oai/h2o-3,Java,26131,4530,1655,2014-03-03 16:08:07,2020-01-04 05:58:58
92,bigbluebutton,bigbluebutton/bigbluebutton,bigbluebutton,https://github.com/bigbluebutton/bigbluebutton,Java,26108,2742,3879,2010-05-25 01:42:41,2020-01-03 14:15:22
63,beam,apache/beam,apache,https://github.com/apache/beam,Java,24870,3620,2233,2016-02-02 08:00:06,2020-01-04 00:34:16
41,cassandra,apache/cassandra,apache,https://github.com/apache/cassandra,Java,24866,5671,2494,2009-05-21 02:10:09,2020-01-04 03:04:10
8,selenium,SeleniumHQ/selenium,SeleniumHQ,https://github.com/SeleniumHQ/selenium,Java,24578,16511,5420,2013-01-14 21:40:56,2020-01-04 09:39:30
1,spring-boot,spring-projects/spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,Java,24441,44610,28288,2012-10-19 15:02:57,2020-01-04 09:29:08
13,bazel,bazelbuild/bazel,bazelbuild,https://github.com/bazelbuild/bazel,Java,24316,13952,2334,2014-06-12 16:00:38,2020-01-04 09:30:12
22,hadoop,apache/hadoop,apache,https://github.com/apache/hadoop,Java,23382,10008,6194,2014-08-28 07:00:08,2020-01-04 03:39:02
32,buck,facebook/buck,facebook,https://github.com/facebook/buck,Java,22000,7162,1060,2013-04-17 18:12:18,2020-01-04 09:27:11
64,pentaho-kettle,pentaho/pentaho-kettle,pentaho,https://github.com/pentaho/pentaho-kettle,Java,21797,3570,2149,2013-10-08 18:27:11,2020-01-03 17:32:04
